player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Gordon Eric,201569,1610612755,PHI,2008.0,7.0
Gortman Jazian,1641789,1610612742,DAL,,
Graham Devonte',1628984,1610612757,POR,2018.0,34.0
Grant Jerami,203924,1610612757,POR,2014.0,39.0
Green AJ,1631260,1610612749,MIL,,
Green Draymond,203110,1610612744,GSW,2012.0,35.0
Green Jalen,1630224,1610612745,HOU,2021.0,2.0
Green Javonte,1629750,1610612740,NOP,,
Green Jeff,201145,1610612745,HOU,2007.0,5.0
Green Josh,1630182,1610612766,CHA,2020.0,18.0
Griffin AJ,1631100,1610612745,HOU,2022.0,16.0
Grimes Quentin,1629656,1610612742,DAL,2021.0,25.0
Gueye Mouhamed,1631243,1610612737,ATL,2023.0,39.0
Hachimura Rui,1629060,1610612747,LAL,2019.0,9.0
Hagans Ashton,1630204,1610612757,POR,,
Haliburton Tyrese,1630169,1610612754,IND,2020.0,12.0
Hall PJ,1641790,1610612743,DEN,,
Hardaway Jr. Tim,203501,1610612765,DET,2013.0,24.0
Harden James,201935,1610612746,LAC,2009.0,3.0
Hardy Jaden,1630702,1610612742,DAL,2022.0,37.0
Harkless Elijah,1641989,1610612746,LAC,,
Harper Jr. Ron,1631199,1610612738,BOS,,
Harris Gary,203914,1610612753,ORL,2014.0,19.0
Harris Tobias,202699,1610612765,DET,2011.0,19.0
Hart Josh,1628404,1610612752,NYK,2017.0,30.0
Hartenstein Isaiah,1628392,1610612760,OKC,2017.0,43.0
Hauser Sam,1630573,1610612738,BOS,,
Hawkins Jordan,1641722,1610612740,NOP,2023.0,14.0
Hayes Jaxson,1629637,1610612747,LAL,2019.0,8.0
Henderson Scoot,1630703,1610612757,POR,2023.0,3.0
Hendricks Taylor,1641707,1610612762,UTA,2023.0,9.0
Herro Tyler,1629639,1610612748,MIA,2019.0,13.0
Hield Buddy,1627741,1610612744,GSW,2016.0,6.0
Highsmith Haywood,1629312,1610612748,MIA,2018.0,
Hill Malcolm,1630792,1610612740,NOP,,
Hinson Blake,1642396,1610612747,LAL,,
Hinton Nate,1630207,1610612745,HOU,,
Holiday Aaron,1628988,1610612745,HOU,2018.0,23.0
Holiday Jrue,201950,1610612738,BOS,2009.0,17.0
Holiday Justin,203200,1610612743,DEN,,
Holland II Ronald,1641842,1610612765,DET,2024.0,5.0
Holmes Richaun,1626158,1610612764,WAS,2015.0,37.0
Holmes II DaRon,1641747,1610612743,DEN,2024.0,22.0
Holmgren Chet,1631096,1610612760,OKC,2022.0,2.0
Hood-Schifino Jalen,1641720,1610612747,LAL,2023.0,17.0
Horford Al,201143,1610612738,BOS,2007.0,3.0
Horton-Tucker Talen,1629659,1610612741,CHI,2019.0,46.0
Houstan Caleb,1631216,1610612753,ORL,2022.0,32.0
Howard Jett,1641724,1610612753,ORL,2023.0,11.0
Huerter Kevin,1628989,1610612758,SAC,2018.0,19.0
Huff Jay,1630643,1610612763,MEM,,
Hukporti Ariel,1630574,1610612752,NYK,2024.0,58.0
Hunter De'Andre,1629631,1610612737,ATL,2019.0,4.0
Hyland Bones,1630538,1610612746,LAC,2021.0,26.0
Ighodaro Oso,1642345,1610612756,PHX,2024.0,40.0
Ingles Joe,204060,1610612750,MIN,,
Ingram Brandon,1627742,1610612740,NOP,2016.0,2.0
Ingram Harrison,1631127,1610612759,SAS,2024.0,48.0
Irving Kyrie,202681,1610612742,DAL,2011.0,1.0
Isaac Jonathan,1628371,1610612753,ORL,2017.0,6.0
Ivey Jaden,1631093,1610612765,DET,2022.0,5.0
Jackson Isaiah,1630543,1610612754,IND,2021.0,22.0
Jackson Quenton,1631245,1610612754,IND,,
Jackson Reggie,202704,1610612755,PHI,2011.0,24.0
Jackson II GG,1641713,1610612763,MEM,2023.0,45.0
Jackson Jr. Andre,1641748,1610612749,MIL,2023.0,36.0
Jackson Jr. Jaren,1628991,1610612763,MEM,2018.0,4.0
Jackson-Davis Trayce,1631218,1610612744,GSW,2023.0,57.0
James Bronny,1642355,1610612747,LAL,2024.0,55.0
James LeBron,2544,1610612747,LAL,2003.0,1.0
Jaquez Jr. Jaime,1631170,1610612748,MIA,2023.0,18.0
Jeffries DaQuan,1629610,1610612752,NYK,,
Jemison Trey,1641998,1610612740,NOP,,
Jenkins Daniss,1642450,1610612765,DET,,
Jerome Ty,1629660,1610612739,CLE,2019.0,24.0
Joe Isaiah,1630198,1610612760,OKC,2020.0,49.0
Johnson AJ,1642358,1610612749,MIL,2024.0,23.0
Johnson Cameron,1629661,1610612751,BKN,2019.0,11.0
Johnson Jalen,1630552,1610612737,ATL,2021.0,20.0
Johnson James,201949,1610612754,IND,2009.0,16.0
Johnson Keldon,1629640,1610612759,SAS,2019.0,29.0
Johnson Keon,1630553,1610612751,BKN,2021.0,21.0
Johnson Keshad,1642352,1610612748,MIA,,
Johnson Keyontae,1641749,1610612766,CHA,2023.0,50.0
Jokic Nikola,203999,1610612743,DEN,2014.0,41.0
Jones Colby,1641732,1610612758,SAC,2023.0,34.0
Jones Damian,1627745,1610612739,CLE,2016.0,30.0
Jones David,1642357,1610612755,PHI,,
Jones Dillon,1641794,1610612760,OKC,2024.0,26.0
Jones Herbert,1630529,1610612740,NOP,2021.0,35.0
Jones Isaac,1642403,1610612758,SAC,,
Jones Kai,1630539,1610612746,LAC,2021.0,19.0
Jones Mason,1630222,1610612758,SAC,,
Jones Spencer,1642461,1610612743,DEN,,
Jones Tre,1630200,1610612759,SAS,2020.0,41.0
Jones Tyus,1626145,1610612756,PHX,2015.0,24.0
Jones Jr. Derrick,1627884,1610612746,LAC,,
Jordan DeAndre,201599,1610612743,DEN,2008.0,35.0
Joseph Cory,202709,1610612753,ORL,2011.0,29.0
Jovic Nikola,1631107,1610612748,MIA,2022.0,27.0
Juzang Johnny,1630548,1610612762,UTA,,
Kawamura Yuki,1642530,1610612763,MEM,,
Kelley Kylor,1630283,1610612747,LAL,,
Kennard Luke,1628379,1610612763,MEM,2017.0,12.0
Kessler Walker,1631117,1610612762,UTA,2022.0,22.0
Key Braxton,1630296,1610612743,DEN,,
Kispert Corey,1630557,1610612764,WAS,2021.0,15.0
Kleber Maxi,1628467,1610612742,DAL,,
Klintman Bobi,1641752,1610612765,DET,2024.0,37.0
Knecht Dalton,1642261,1610612747,LAL,2024.0,17.0
Kolek Tyler,1642278,1610612752,NYK,2024.0,34.0
Konchar John,1629723,1610612763,MEM,,
Kornet Luke,1628436,1610612738,BOS,,
Krejci Vit,1630249,1610612737,ATL,2020.0,37.0
Kuminga Jonathan,1630228,1610612744,GSW,2021.0,7.0
Kuzma Kyle,1628398,1610612764,WAS,2017.0,27.0
LaRavia Jake,1631222,1610612763,MEM,2022.0,19.0
LaVine Zach,203897,1610612741,CHI,2014.0,13.0
Landale Jock,1629111,1610612745,HOU,,
Larsson Pelle,1641796,1610612748,MIA,2024.0,44.0
Lawson AJ,1630639,1610612742,DAL,,
LeVert Caris,1627747,1610612739,CLE,2016.0,20.0
Lee Damion,1627814,1610612756,PHX,,
Lee Saben,1630240,1610612756,PHX,2020.0,38.0
Len Alex,203458,1610612758,SAC,2013.0,5.0
Leonard Kawhi,202695,1610612746,LAC,2011.0,15.0
Lewis Maxwell,1641721,1610612747,LAL,2023.0,40.0
Liddell E.J.,1630604,1610612741,CHI,2022.0,41.0
Lillard Damian,203081,1610612749,MIL,2012.0,6.0
Lively II Dereck,1641726,1610612742,DAL,2023.0,12.0
Livingston Chris,1641753,1610612749,MIL,2023.0,58.0
Lofton Jr. Kenneth,1631254,1610612741,CHI,,
Looney Kevon,1626172,1610612744,GSW,2015.0,30.0
Lopez Brook,201572,1610612749,MIL,2008.0,10.0
Love Kevin,201567,1610612748,MIA,2008.0,5.0
Lowry Kyle,200768,1610612755,PHI,2006.0,24.0
Lundy Seth,1641754,1610612737,ATL,2023.0,46.0
Lyles Trey,1626168,1610612758,SAC,2015.0,12.0
Mamukelashvili Sandro,1630572,1610612759,SAS,2021.0,54.0
Mann Terance,1629611,1610612746,LAC,2019.0,48.0
Mann Tre,1630544,1610612766,CHA,2021.0,18.0
Marjanovic Boban,1626246,1610612745,HOU,,
Markkanen Lauri,1628374,1610612762,UTA,2017.0,7.0
Marshall Naji,1630230,1610612742,DAL,,
Martin Caleb,1628997,1610612755,PHI,,
Martin Cody,1628998,1610612766,CHA,2019.0,36.0
Martin Jaylen,1641798,1610612751,BKN,,
Martin KJ,1630231,1610612755,PHI,2020.0,52.0
Mathews Garrison,1629726,1610612737,ATL,,
Mathurin Bennedict,1631097,1610612754,IND,2022.0,6.0
Matkovic Karlo,1631255,1610612740,NOP,2022.0,52.0
Matthews Wesley,202083,1610612737,ATL,,
Maxey Tyrese,1630178,1610612755,PHI,2020.0,21.0
Mays Skylar,1630219,1610612747,LAL,2020.0,50.0
McBride Miles,1630540,1610612752,NYK,2021.0,36.0
McCain Jared,1642272,1610612755,PHI,2024.0,16.0
McCollum CJ,203468,1610612740,NOP,2013.0,10.0
McConnell Caleb,1641799,1610612766,CHA,,
McConnell T.J.,204456,1610612754,IND,2015.0,
McCullar Jr. Kevin,1641755,1610612752,NYK,2024.0,56.0
McDaniels Jaden,1630183,1610612750,MIN,2020.0,28.0
McDaniels Jalen,1629667,1610612758,SAC,2019.0,52.0
